Node,X,Y,Z,Point,Xaxis,Yaxis
0,1,6.5160603523254395,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
0,18,6.5160603523254395,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
0,2,6.5160603523254395,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
0,8,6.5160603523254395,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
1,15,-16.48393964767456,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
1,3,-16.48393964767456,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
18,12,-5.9839396476745605,2.733844757080078,7.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
18,13,-5.9839396476745605,2.733844757080078,7.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
2,14,29.51605987548828,2.733844757080078,2.5870179384946823,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
8,10,17.01606035232544,2.733844757080078,7.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
15,4,-28.98394012451172,2.733844757080078,7.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
12,16,9.148868203163147,2.733844757080078,12.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
12,17,9.148868203163147,2.733844757080078,12.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
13,9,-13.851131796836853,2.733844757080078,12.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
10,19,32.148868560791016,2.733844757080078,12.587018013000488,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
16,5,-4.5247039794921875,2.733844757080078,17.58701753616333,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
16,7,-4.5247039794921875,2.733844757080078,17.58701753616333,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
17,11,18.475296020507812,2.733844757080078,17.58701753616333,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
9,6,-27.524703979492188,2.733844757080078,17.58701753616333,"Frame(Point(-30.439, 2.734, 20.087), Vector(0.000, 1.000, 0.000), Vector(1.000, -0.000, 0.000))","[None, None, None]","[None, None, None]"
